Timestamp,Vid,Type,Title,Status,Size,Latency,FullRequest
9135508693,1620200002,HTTP,Recherche normale,200,26514,760936311,https://34.244.75.167/events/search
9209585287,1620200005,HTTP,Recherche anormale,200,26514,721186571,https://34.244.75.167/events/search
9216672842,1620200000,HTTP,Recherche anormale,200,26514,753165879,https://34.244.75.167/events/search
9222228763,1620200008,HTTP,Recherche normale,200,26514,759755718,https://34.244.75.167/events/search
9260227831,1620200006,HTTP,Recherche anormale,200,26514,758750983,https://34.244.75.167/events/search
9342901274,1620200003,HTTP,Recherche anormale,200,26514,750896966,https://34.244.75.167/events/search
9373210149,1620200001,HTTP,Recherche normale,200,26514,237846688,https://34.244.75.167/events/search
9381463376,1620200007,HTTP,Recherche anormale,200,26514,246088862,https://34.244.75.167/events/search
9391525507,1620200004,HTTP,Recherche normale,200,26514,256009877,https://34.244.75.167/events/search
9398550803,1620200002,HTTP,Recherche anormale,200,26514,262721906,https://34.244.75.167/events/search
9436404164,1620200005,HTTP,Recherche normale,200,26514,226594901,https://34.244.75.167/events/search
9461696597,1620200000,HTTP,Recherche normale,200,26514,244797832,https://34.244.75.167/events/search
9000000000,,GLOBAL,,0,9,0,
9474976546,1620200008,HTTP,Recherche anormale,200,26514,252531384,https://34.244.75.167/events/search
9478065728,1620200006,HTTP,Recherche normale,200,26514,217534560,https://34.244.75.167/events/search
9571873493,1620200003,HTTP,Recherche normale,200,26514,228511728,https://34.244.75.167/events/search
9601049523,1620200001,HTTP,Recherche anormale,200,26514,227475588,https://34.244.75.167/events/search
9607751483,1620200007,HTTP,Recherche normale,200,26514,225945731,https://34.244.75.167/events/search
9615214549,1620200004,HTTP,Recherche anormale,200,26514,223399032,https://34.244.75.167/events/search
9626066552,1620200002,HTTP,Recherche normale,200,26514,227233280,https://34.244.75.167/events/search
9666170946,1620200005,HTTP,Recherche anormale,200,26514,229460494,https://34.244.75.167/events/search
9686937548,1620200009,HTTP,Recherche normale,200,26514,224291508,https://34.244.75.167/events/search
9698540099,1620200000,HTTP,Recherche anormale,200,26514,236524814,https://34.244.75.167/events/search
9707576413,1620200008,HTTP,Recherche normale,200,26514,232281420,https://34.244.75.167/events/search
10005740588,1620200006,HTTP,Recherche anormale,200,26514,526046450,https://34.244.75.167/events/search
10090412738,1620200003,HTTP,Recherche anormale,200,26514,518072613,https://34.244.75.167/events/search
10131602434,1620200001,HTTP,Recherche normale,200,26514,530213609,https://34.244.75.167/events/search
10137305348,1620200002,HTTP,Recherche anormale,200,26514,510797381,https://34.244.75.167/events/search
10156746982,1620200004,HTTP,Recherche normale,200,26514,541190570,https://34.244.75.167/events/search
10160779198,1620200007,HTTP,Recherche anormale,200,26514,552742590,https://34.244.75.167/events/search
10180355761,1620200005,HTTP,Recherche normale,200,26514,513852040,https://34.244.75.167/events/search
10188533379,1620200000,HTTP,Recherche normale,200,26514,489712247,https://34.244.75.167/events/search
10199719015,1620200008,HTTP,Recherche anormale,200,26514,491898769,https://34.244.75.167/events/search
10204273966,1620200009,HTTP,Recherche anormale,200,26514,516930230,https://34.244.75.167/events/search
10267713105,1620200006,HTTP,Recherche normale,200,26514,261551221,https://34.244.75.167/events/search
10337462851,1620200003,HTTP,Recherche normale,200,26514,246802753,https://34.244.75.167/events/search
10358811832,1620200001,HTTP,Recherche anormale,200,26514,226902782,https://34.244.75.167/events/search
10378486389,1620200002,HTTP,Recherche normale,200,26514,240944814,https://34.244.75.167/events/search
10393180022,1620200004,HTTP,Recherche anormale,200,26514,235631320,https://34.244.75.167/events/search
10397998768,1620200007,HTTP,Recherche normale,200,26514,237018721,https://34.244.75.167/events/search
10407789865,1620200005,HTTP,Recherche anormale,200,26514,227114565,https://34.244.75.167/events/search
10416421538,1620200000,HTTP,Recherche anormale,200,26514,227630969,https://34.244.75.167/events/search
10427189111,1620200008,HTTP,Recherche normale,200,26514,227208888,https://34.244.75.167/events/search
10433931567,1620200009,HTTP,Recherche normale,200,26514,229207379,https://34.244.75.167/events/search
10000000000,,GLOBAL,,0,10,0,
10512046889,1620200006,HTTP,Recherche anormale,200,26514,243986515,https://34.244.75.167/events/search
10572441299,1620200003,HTTP,Recherche anormale,200,26514,234435526,https://34.244.75.167/events/search
10593318371,1620200001,HTTP,Recherche normale,200,26514,234211452,https://34.244.75.167/events/search
10617468222,1620200002,HTTP,Recherche anormale,200,26514,238624090,https://34.244.75.167/events/search
10623045865,1620200004,HTTP,Recherche normale,200,26514,229340938,https://34.244.75.167/events/search
10650163571,1620200007,HTTP,Recherche anormale,200,26514,251736037,https://34.244.75.167/events/search
10653765155,1620200005,HTTP,Recherche normale,200,26514,245766132,https://34.244.75.167/events/search
10659989733,1620200000,HTTP,Recherche normale,200,26514,243145948,https://34.244.75.167/events/search
10666468613,1620200008,HTTP,Recherche anormale,200,26514,239002004,https://34.244.75.167/events/search
10669842210,1620200009,HTTP,Recherche anormale,200,26514,235444598,https://34.244.75.167/events/search
10692120392,1620200010,HTTP,Recherche normale,200,26514,229064779,https://34.244.75.167/events/search
10752015343,1620200006,HTTP,Recherche normale,200,26514,239733821,https://34.244.75.167/events/search
10804947269,1620200003,HTTP,Recherche normale,200,26514,232205058,https://34.244.75.167/events/search
10826092353,1620200001,HTTP,Recherche anormale,200,26514,232577728,https://34.244.75.167/events/search
10848561079,1620200002,HTTP,Recherche normale,200,26514,230875578,https://34.244.75.167/events/search
10863341823,1620200004,HTTP,Recherche anormale,200,26514,239991322,https://34.244.75.167/events/search
10879114663,1620200007,HTTP,Recherche normale,200,26514,228571389,https://34.244.75.167/events/search
10889458066,1620200005,HTTP,Recherche anormale,200,26514,235452838,https://34.244.75.167/events/search
10894255854,1620200000,HTTP,Recherche anormale,200,26514,233933935,https://34.244.75.167/events/search
10901601704,1620200008,HTTP,Recherche normale,200,26514,234823120,https://34.244.75.167/events/search
10911407216,1620200009,HTTP,Recherche normale,200,26514,241279571,https://34.244.75.167/events/search
10911672150,1620200010,HTTP,Recherche anormale,200,26514,219283396,https://34.244.75.167/events/search
10999378616,1620200006,HTTP,Recherche anormale,200,26514,246968242,https://34.244.75.167/events/search
11061507832,1620200001,HTTP,Recherche normale,200,26514,235150670,https://34.244.75.167/events/search
11067452386,1620200003,HTTP,Recherche anormale,200,26514,262279678,https://34.244.75.167/events/search
11082978804,1620200002,HTTP,Recherche anormale,200,26514,234211882,https://34.244.75.167/events/search
11117626934,1620200004,HTTP,Recherche normale,200,26514,254050486,https://34.244.75.167/events/search
11121289688,1620200005,HTTP,Recherche normale,200,26514,231375659,https://34.244.75.167/events/search
11124802892,1620200007,HTTP,Recherche anormale,200,26514,245434119,https://34.244.75.167/events/search
11132129767,1620200000,HTTP,Recherche normale,200,26514,237595047,https://34.244.75.167/events/search
11469547276,1620200008,HTTP,Recherche anormale,200,26514,241892396,https://34.244.75.167/events/search
11482741981,1620200009,HTTP,Recherche anormale,200,26514,570630519,https://34.244.75.167/events/search
11484134534,1620200010,HTTP,Recherche normale,200,26514,570688023,https://34.244.75.167/events/search
11000000000,,GLOBAL,,0,12,0,
11555856052,1620200006,HTTP,Recherche normale,200,26514,556150242,https://34.244.75.167/events/search
11609325188,1620200002,HTTP,Recherche normale,200,26514,526004704,https://34.244.75.167/events/search
11632709748,1620200001,HTTP,Recherche anormale,200,26514,570900073,https://34.244.75.167/events/search
11646030217,1620200003,HTTP,Recherche normale,200,26514,578371209,https://34.244.75.167/events/search
11647739314,1620200007,HTTP,Recherche normale,200,26514,522737459,https://34.244.75.167/events/search
11650777571,1620200005,HTTP,Recherche anormale,200,26514,529278597,https://34.244.75.167/events/search
11667588501,1620200000,HTTP,Recherche anormale,200,26514,535182254,https://34.244.75.167/events/search
11686507652,1620200004,HTTP,Recherche anormale,200,26514,568640602,https://34.244.75.167/events/search
11709938570,1620200008,HTTP,Recherche normale,200,26514,228175405,https://34.244.75.167/events/search
11716366684,1620200011,HTTP,Recherche normale,200,26514,233270040,https://34.244.75.167/events/search
11734655100,1620200009,HTTP,Recherche normale,200,26514,250915124,https://34.244.75.167/events/search
11744369317,1620200010,HTTP,Recherche anormale,200,26514,259810546,https://34.244.75.167/events/search
11809780309,1620200006,HTTP,Recherche anormale,200,26514,253606327,https://34.244.75.167/events/search
11847719743,1620200002,HTTP,Recherche anormale,200,26514,238155543,https://34.244.75.167/events/search
11862530645,1620200001,HTTP,Recherche normale,200,26514,229601040,https://34.244.75.167/events/search
11881125986,1620200003,HTTP,Recherche anormale,200,26514,234572521,https://34.244.75.167/events/search
11886705794,1620200007,HTTP,Recherche anormale,200,26514,238765893,https://34.244.75.167/events/search
11893187724,1620200005,HTTP,Recherche normale,200,26514,242130970,https://34.244.75.167/events/search
11904261388,1620200000,HTTP,Recherche normale,200,26514,236220432,https://34.244.75.167/events/search
11922756391,1620200004,HTTP,Recherche normale,200,26514,235993337,https://34.244.75.167/events/search
11940428140,1620200008,HTTP,Recherche anormale,200,26514,230224554,https://34.244.75.167/events/search
11952114408,1620200011,HTTP,Recherche anormale,200,26514,235476125,https://34.244.75.167/events/search
11965000874,1620200009,HTTP,Recherche anormale,200,26514,229939587,https://34.244.75.167/events/search
11980033960,1620200010,HTTP,Recherche normale,200,26514,234988014,https://34.244.75.167/events/search
12053710790,1620200006,HTTP,Recherche normale,200,26514,243713481,https://34.244.75.167/events/search
12087495819,1620200002,HTTP,Recherche normale,200,26514,239564825,https://34.244.75.167/events/search
